OCC,MALE,FEMALE
at service ,1,7
baker ,1,1
barber ,102,1
boarding house ,1,1
cake baker ,4,6
cake seller ,10,1
confectioner ,5,3
cook ,11,126
cooking ,1,16
cooks ,1,3
cuts rags ,1,22
days work ,2,528
dealer ,6,1
does nothing ,1,2
door mat maker ,1,1
eating house ,8,6
hair dresser ,29,2
hominy dealer ,5,1
huckster,9,15
idle ,1,1
ironing ,1,446
janitor ,2,1
makes mats ,1,3
muffin baker ,1,1
not able ,29,74
not able to work ,1,10
null,1108,462
oyster dealer ,1,1
past work ,2,4
picks coal ,1,1
rag & bone,36,37
rag gatherer ,1,2
rag picker ,5,6
school teacher ,6,10
scourer ,3,1
sells pepper pot ,1,3
service ,5,116
sewing ,2,32
shop keeper ,3,28
teacher ,1,2
traveling preacher ,7,1
various ,52,16
waiter ,383,1
washer ,7,1572
whitewasher ,43,25
whitewashing ,2,17
wood sawyer ,75,1
works at confectionary,2,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,