Manufacturing & Mechanical Pursuits,FEMALE
dressmaker,182
sempstress,119
sewing,57
whitewasher,53
rag cutter,48
shirt maker,30
tailoress,20
mantua maker,17
milliner,12
mat maker,10
baker,8
carpet rags,7
pastry cook,7
quilter,7
shirtmaker,5
confectionary,4
makes carpet rags,2
rag picker,2
upholster,2
works in oyster cellar,2
assist in oyster house,1
boot fitter,1
clothes dealer,1
cuts,1
dress shirt maker,1
embroider,1
knitter,1
lives in oyster cellar,1
ornamental basket maker,1
oyster house minimally,1
rug maker,1
scourer,1
shirt & dressmaker,1
snuff milling,1
wood sawyer,1