More than One,FEMALE
various,16
washer & whitewasher,10
washing sewing,3
confectioner dom duties,1
cook and confectioner,1
cook house and dance house,1
days work sempstree irregular,1
days work sewing,1
dealer dom duties,1
dress m millinery dont know,1
dress making one a cook,1
dressm fortune teller,1
eating house,1
huckster washer,1
ironing cook,1
ironing one cooking,1
midwife,1
rag picker,1
sempstress and nurse,1
sewing washing etc,1
teacher & dressmaker,1
wash & c,1
wash cooking & c,1
washing and boarders,1
washing and days work,1
,
,