Trade & Transportation,FEMALE
rag picker,48
shop keeper,32
huckster,16
rag gatherer,6
cake seller,5
rag sorter,3
sells pepper pot,3
clothes dealer,2
confectionary,2
in rag store,2
layer out of dead,2
attend shop provisions,1
baker,1
confectonary,1
dealer,1
deals in vegtables,1
furniture shop,1
hominy dealer,1
homooy sells,1
intelligence office,1
keeps bake shop,1
keeps victualing cellar,1
oyster dealer,1
pepper pot dealer,1
picks coal,1
rag cutter,1
same,1
sells carpet rags,1
sells in market,1
sews cart rags,1
stand in market,1