Manufacturing & Mechanical Pursuits,MALE
hod carrier,96
wood sawyer,78
brick maker,66
shoemaker,66
whitewasher,48
boot & shoemaker,41
carpenter,28
oysterman,25
tailor,18
tanner,15
puts in coal,14
cabinet maker,13
sail maker,10
confectionary,9
baker,8
boot black,7
glazier,7
painter,7
brick layer/mason,5
milliner,5
laborer in lumber yard,5
b maker,4
b maker jobbing,4
basket maker,4
blacksmith,4
coffee roaster,3
draper,3
laborer in coal yard,3
mat maker,3
oyster,3
scourer,3
b maker hominy,2
brick,2
dyer,2
ice cream maker,2
iron worker,2
lumber yard,2
perfumery,2
shave shingles,2
wood splitter,2
wool factory,2
works for a bottler,2
works in lumber yard,2
works in mahogany mill,2
bmaker,1
book maker,1
bottler,1
brass founder,1
builder,1
carver,1
chair bottomer,1
chandler,1
clock printer by trade,1
rag cutter,1
distiller,1
dressmaker,1
foreman in lumber yard,1
house painter,1
in type foundry,1
ivory turner,1
healthcare,1
lab in dug mill,1
lab in ink factory,1
lab in oyster h,1
lab in sugar house,1
lime burner,1
brickmaker,1
makes little wooden ornaments,1
makes saw handles,1
master cooper in ny,1
melting iron,1
morocco dresser,1
oyster house,1
oyster peddler,1
photographist,1
potter,1
sadler,1
sign painter,1
silversmith,1
tin worker,1
turner,1
type caster,1
umbrella maker,1
varnisher when can get it,1
wheelwright,1
wire worker,1
wood piler,1